Município,Código,Nome Município,Casos Total,Hepatite A,Hepatite B ,Hepatite C,Hepatite D,Hepatite A Total,Hepatite A 1999-2007,Hepatite A 2008,Hepatite A 2009,Hepatite A 2010,Hepatite A 2011,Hepatite A 2012,Hepatite A 2013,Hepatite A 2014,Hepatite A 2015,Hepatite A 2016,Hepatite A 2017,Hepatite A 2018,Hepatite A 2019,Hepatite A 2020,Tx Det Hep A 2008,Tx Det Hep A 2009,Tx Det Hep A 2010,Tx Det Hep A 2011,Tx Det Hep A 2012,Tx Det Hep A 2013,Tx Det Hep A 2014,Tx Det Hep A 2015,Tx Det Hep A 2016,Tx Det Hep A 2017,Tx Det Hep A 2018,Tx Det Hep A 2019,Tx Det Hep A 2020,Hep A M Total,Hep A M 1999-2007,Hep A M 2008,Hep A M 2009,Hep A M 2010,Hep A M 2011,Hep A M 2012,Hep A M 2013,Hep A M 2014,Hep A M 2015,Hep A M 2016,Hep A M 2017,Hep A M 2018,Hep A M 2019,Hep A M 2020,Tx Det M Hep A M 2008,Tx Det M Hep A M 2009,Tx Det M Hep A M 2010,Tx Det M Hep A M 2011,Tx Det M Hep A M 2012,Tx Det M Hep A M 2013,Tx Det M Hep A M 2014,Tx Det M Hep A M 2015,Tx Det M Hep A M 2016,Tx Det M Hep A M 2017,Tx Det M Hep A M 2018,Tx Det M Hep A M 2019,Tx Det M Hep A M 2020,Hep A F Total,Hep A F 1999-2007,Hep A F 2008,Hep A F 2009,Hep A F 2010,Hep A F 2011,Hep A F 2012,Hep A F 2013,Hep A F 2014,Hep A F 2015,Hep A F 2016,Hep A F 2017,Hep A F 2018,Hep A F 2019,Hep A F 2020,Tx Det F Hep A F 2008,Tx Det F Hep A F 2009,Tx Det F Hep A F 2010,Tx Det F Hep A F 2011,Tx Det F Hep A F 2012,Tx Det F Hep A F 2013,Tx Det F Hep A F 2014,Tx Det F Hep A F 2015,Tx Det F Hep A F 2016,Tx Det F Hep A F 2017,Tx Det F Hep A F 2018,Tx Det F Hep A F 2019,Tx Det F Hep A F 2020,Hepatite B Total,Hepatite B 1999-2007,Hepatite B 2008,Hepatite B 2009,Hepatite B 2010,Hepatite B 2011,Hepatite B 2012,Hepatite B 2013,Hepatite B 2014,Hepatite B 2015,Hepatite B 2016,Hepatite B 2017,Hepatite B 2018,Hepatite B 2019,Hepatite B 2020,Tx Det Hep B 2008,Tx Det Hep B 2009,Tx Det Hep B 2010,Tx Det Hep B 2011,Tx Det Hep B 2012,Tx Det Hep B 2013,Tx Det Hep B 2014,Tx Det Hep B 2015,Tx Det Hep B 2016,Tx Det Hep B 2017,Tx Det Hep B 2018,Tx Det Hep B 2019,Tx Det Hep B 2020,Hep B M Total,Hep B M 1999-2007,Hep B M 2008,Hep B M 2009,Hep B M 2010,Hep B M 2011,Hep B M 2012,Hep B M 2013,Hep B M 2014,Hep B M 2015,Hep B M 2016,Hep B M 2017,Hep B M 2018,Hep B M 2019,Hep B M 2020,Tx Det M Hep B M 2008,Tx Det M Hep B M 2009,Tx Det M Hep B M 2010,Tx Det M Hep B M 2011,Tx Det M Hep B M 2012,Tx Det M Hep B M 2013,Tx Det M Hep B M 2014,Tx Det M Hep B M 2015,Tx Det M Hep B M 2016,Tx Det M Hep B M 2017,Tx Det M Hep B M 2018,Tx Det M Hep B M 2019,Tx Det M Hep B M 2020,Hep B F Total,Hep B F 1999-2007,Hep B F 2008,Hep B F 2009,Hep B F 2010,Hep B F 2011,Hep B F 2012,Hep B F 2013,Hep B F 2014,Hep B F 2015,Hep B F 2016,Hep B F 2017,Hep B F 2018,Hep B F 2019,Hep B F 2020,Tx Det F Hep B F 2008,Tx Det F Hep B F 2009,Tx Det F Hep B F 2010,Tx Det F Hep B F 2011,Tx Det F Hep B F 2012,Tx Det F Hep B F 2013,Tx Det F Hep B F 2014,Tx Det F Hep B F 2015,Tx Det F Hep B F 2016,Tx Det F Hep B F 2017,Tx Det F Hep B F 2018,Tx Det F Hep B F 2019,Tx Det F Hep B F 2020
310010 Abadia dos Dourados,310010,Abadia dos Dourados,13,8,1,4,0,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","57,5","0,0","0,0","0,0",7,4,0,0,0,0,0,0,0,0,0,3,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","85,5","0,0","0,0","0,0",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","29,0","0,0","0,0","0,0",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","14,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","29,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
310020 Abaeté,310020,Abaeté,13,2,4,7,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"0,0","0,0","4,4","0,0","0,0","0,0","0,0","0,0","4,3","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"0,0","0,0","8,7","0,0","0,0","0,0","0,0","0,0","8,6","0,0","0,0","0,0","0,0",4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,"0,0","4,3","8,8","0,0","0,0","0,0","0,0","4,3","0,0","0,0","0,0","0,0","0,0",4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,"0,0","8,7","17,8","0,0","0,0","0,0","0,0","8,7","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
310030 Abre Campo,310030,Abre Campo,7,4,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"0,0","30,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0,0","30,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0,0","30,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"0,0","7,6","0,0","0,0","0,0","0,0","0,0","7,4","7,4","0,0","0,0","0,0","0,0",2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"0,0","15,1","0,0","0,0","0,0","0,0","0,0","0,0","14,8","0,0","0,0","0,0","0,0",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,9","0,0","0,0","0,0","0,0","0,0"
310040 Acaiaca,310040,Acaiaca,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","25,0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","52,8","0,0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,5"
310050 Açucena,310050,Açucena,8,3,4,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"0,0","0,0","9,7","0,0","9,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"0,0","0,0","19,1","0,0","19,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"0,0","0,0","0,0","9,8","9,9","0,0","0,0","0,0","0,0","10,3","10,4","0,0","0,0",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","19,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"0,0","0,0","0,0","0,0","20,2","0,0","0,0","0,0","0,0","21,1","21,3","0,0","0,0"
310060 Água Boa,310060,Água Boa,7,4,3,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"0,0","12,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,1","0,0","7,4","0,0","0,0",2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,9","0,0","14,3","0,0","0,0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
310070 Água Comprida,310070,Água Comprida,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
310080 Aguanil,310080,Aguanil,5,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","23,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","46,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","23,3","0,0","0,0","0,0","0,0","0,0","0,0",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","45,9","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
310090 Águas Formosas,310090,Águas Formosas,23,2,18,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,3","0,0","0,0","0,0","0,0","0,0",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,4","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",18,1,0,0,0,6,0,0,2,4,1,2,0,2,0,"0,0","0,0","0,0","32,4","0,0","0,0","10,5","21,0","5,2","10,5","0,0","10,4","0,0",8,1,0,0,0,2,0,0,0,3,0,1,0,1,0,"0,0","0,0","0,0","21,4","0,0","0,0","0,0","31,1","0,0","10,3","0,0","10,2","0,0",10,0,0,0,0,4,0,0,2,1,1,1,0,1,0,"0,0","0,0","0,0","43,5","0,0","0,0","21,3","10,6","10,6","10,6","0,0","10,6","0,0"
310100 Águas Vermelhas,310100,Águas Vermelhas,35,34,1,0,0,34,9,23,1,0,1,0,0,0,0,0,0,0,0,0,"174,5","7,5","0,0","7,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",17,3,13,0,0,1,0,0,0,0,0,0,0,0,0,"190,8","0,0","0,0","15,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",17,6,10,1,0,0,0,0,0,0,0,0,0,0,0,"157,1","15,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
