"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";213;207;222;271;263;232;255;238;271;282;258;208;174;147;116;75;64;3496
"310020 Abaeté";665;685;788;922;893;908;813;760;792;828;833;716;609;464;341;226;254;11497
"310030 Abre Campo";444;448;492;533;577;479;508;511;427;479;457;388;310;236;167;144;175;6775
"310040 Acaiaca";138;137;129;167;152;138;122;123;156;110;124;103;87;65;68;42;48;1909
"310050 Açucena";340;347;401;446;421;348;305;338;338;315;318;265;229;184;161;129;156;5041
"310060 Água Boa";595;562;671;758;699;543;467;494;483;445;398;319;287;191;172;129;117;7330
"310070 Água Comprida";51;56;74;71;99;74;81;71;68;78;79;65;63;47;34;32;24;1067
"310080 Aguanil";134;139;134;184;176;147;149;169;136;153;161;151;128;94;53;50;43;2201
"310090 Águas Formosas";737;728;863;805;871;709;815;657;596;570;530;410;376;289;278;206;208;9648
"310100 Águas Vermelhas";525;501;633;596;678;633;501;457;420;351;362;315;268;232;149;104;121;6846
"310110 Aimorés";834;850;887;922;992;888;847;894;869;783;811;694;593;446;334;263;320;12227
"310120 Aiuruoca";153;163;226;239;246;227;180;217;219;253;232;214;183;132;116;82;95;3177
"310130 Alagoa";81;81;79;112;102;98;96;80;88;120;132;102;81;61;31;34;38;1416
"310140 Albertina";95;90;101;134;124;103;130;128;120;101;84;83;79;44;45;31;30;1522
"310150 Além Paraíba";1081;1121;1210;1429;1402;1218;1321;1259;1131;1188;1179;1057;781;581;377;298;385;17018
"310160 Alfenas";2456;2526;2741;3093;3209;3261;3163;2983;2515;2400;2448;2109;1703;1295;920;614;670;38106
"310163 Alfredo Vasconcelos";226;256;287;282;282;251;229;246;233;264;213;169;132;99;101;56;51;3377
"310170 Almenara";1514;1557;1594;1727;1682;1824;1795;1497;1438;1260;1192;880;798;612;552;375;424;20721
"310180 Alpercata";251;256;323;335;317;267;265;248;262;209;229;166;146;124;104;78;77;3657
"310190 Alpinópolis";625;583;687;888;875;865;805;688;663;709;649;570;462;334;205;175;172;9955
"310200 Alterosa";451;435;485;547;518;554;544;499;518;467;513;439;354;322;230;183;201;7260
"310205 Alto Caparaó";207;220;215;251;264;243;237;228;190;177;169;145;118;77;60;51;60;2912
"315350 Alto Jequitibá";274;277;331;385;321;323;321;318;279;269;293;225;236;141;89;87;123;4292
"310210 Alto Rio Doce";322;336;393;468;478;447;422;406;380;434;366;375;301;223;193;137;157;5838
"310220 Alvarenga";138;143;136;156;185;158;175;145;137;117;146;120;104;78;72;40;63;2113
"310230 Alvinópolis";471;485;559;621;631;561;575;556;499;520;504;401;335;283;211;157;208;7577
"310240 Alvorada de Minas";189;175;195;168;138;123;121;103;115;108;97;68;63;36;39;22;30;1790
"310250 Amparo do Serra";149;146;177;200;199;143;149;182;155;161;168;131;120;96;61;65;79;2381
"310260 Andradas";1145;1191;1326;1534;1599;1659;1619;1532;1434;1400;1319;1145;991;706;530;378;451;19959
"310280 Andrelândia";341;341;399;417;479;402;434;510;445;489;429;407;326;264;176;133;146;6138
"310285 Angelândia";387;336;432;466;395;325;307;307;226;209;174;145;128;96;71;56;55;4115
"310290 Antônio Carlos";327;340;419;461;490;437;400;432;417;403;416;345;223;214;162;88;89;5663
"310300 Antônio Dias";357;350;378;432;425;350;330;340;317;327;323;270;178;129;105;96;70;4777
