"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";203;202;197;265;265;242;263;268;257;276;224;186;195;144;112;60;75;3434
"310020 Abaeté";628;643;726;854;869;867;828;812;794;883;869;771;627;478;380;301;359;11689
"310030 Abre Campo";421;423;467;500;520;498;502;486;467;443;432;381;345;262;201;166;197;6711
"310040 Acaiaca";130;144;125;156;175;135;155;160;137;142;140;112;97;77;69;53;83;2090
"310050 Açucena";318;285;305;402;382;326;336;322;337;316;272;250;229;201;174;136;211;4802
"310060 Água Boa";558;522;569;682;626;517;449;463;399;396;383;305;289;208;171;133;160;6830
"310070 Água Comprida";48;42;53;68;65;91;72;66;75;67;61;56;56;49;29;22;37;957
"310080 Aguanil";128;128;132;173;158;156;158;153;150;155;144;136;124;91;63;47;53;2149
"310090 Águas Formosas";703;684;738;779;796;720;694;621;633;538;508;416;408;354;296;247;269;9404
"310100 Águas Vermelhas";501;499;504;554;570;514;460;443;406;387;370;316;255;217;183;130;160;6469
"310110 Aimorés";792;798;871;969;960;925;935;962;903;883;844;768;638;533;427;341;485;13034
"310120 Aiuruoca";144;141;171;202;233;211;201;214;193;205;223;216;166;128;107;81;96;2932
"310130 Alagoa";76;77;79;97;104;81;81;79;77;101;113;88;72;55;38;27;45;1290
"310140 Albertina";91;92;92;130;126;116;106;94;125;100;82;69;77;54;44;30;45;1473
"310150 Além Paraíba";1027;1057;1149;1310;1362;1269;1294;1295;1264;1225;1272;1172;971;752;595;466;712;18192
"310160 Alfenas";2343;2368;2543;3015;3121;3225;3218;3113;2805;2741;2703;2404;2037;1553;1075;800;1015;40079
"310163 Alfredo Vasconcelos";217;199;213;254;280;254;266;259;245;246;211;166;148;113;72;52;66;3261
"310170 Almenara";1448;1442;1544;1512;1563;1675;1671;1511;1300;1272;1163;988;898;692;555;466;541;20241
"310180 Alpercata";240;238;251;317;303;265;278;294;257;218;211;204;187;130;121;94;122;3730
"310190 Alpinópolis";596;610;636;785;809;749;725;673;628;659;621;539;481;326;249;190;241;9517
"310200 Alterosa";430;423;479;550;546;525;526;503;486;486;449;392;351;277;215;173;207;7018
"310205 Alto Caparaó";200;174;208;239;205;231;227;201;215;184;174;136;121;85;59;46;61;2766
"315350 Alto Jequitibá";258;253;261;297;307;316;309;307;272;284;261;262;208;139;112;90;146;4082
"310210 Alto Rio Doce";302;312;349;413;468;422;380;392;372;414;406;332;289;265;197;163;205;5681
"310220 Alvarenga";130;134;144;145;154;150;144;142;134;126;138;136;103;78;55;50;63;2026
"310230 Alvinópolis";444;436;458;562;601;568;568;572;499;507;512;477;397;343;265;216;331;7756
"310240 Alvorada de Minas";177;156;162;170;181;140;117;115;120;99;78;77;79;45;33;33;37;1819
"310250 Amparo do Serra";141;140;139;185;204;168;178;174;171;179;154;160;122;99;89;68;94;2465
"310260 Andradas";1092;1146;1197;1414;1536;1502;1563;1510;1466;1444;1405;1237;1003;799;579;442;604;19939
"310280 Andrelândia";324;342;396;430;451;399;441;454;446;426;462;414;345;280;206;146;187;6149
"310285 Angelândia";370;338;376;431;428;369;342;276;232;231;203;159;136;122;98;70;88;4269
"310290 Antônio Carlos";311;301;349;423;457;449;437;437;466;421;401;309;287;241;165;129;153;5736
"310300 Antônio Dias";338;322;332;397;392;380;346;345;336;323;291;235;206;156;115;90;99;4703
"310310 Antônio Prado de Minas";30;32;45;41;60;52;46;50;54;57;64;54;48;41;32;34;40;780
"310320 Araçaí";68;67;77;101;96;89;87;86;82;92;90;72;54;46;40;27;43;1217
"310330 Aracitaba";44;48;53;69;77;63;66;72;64;91;76;79;69;44;32;33;37;1017
"310340 Araçuaí";1326;1293;1345;1466;1678;1543;1442;1306;1190;1097;1032;853;702;593;518;457;640;18481
"310350 Araguari";3287;3361;3733;4152;4398;4555;4514;4509;4193;4275;4128;3513;2938;2359;1741;1328;1620;58604
"310360 Arantina";74;78;91;92;110;81;90;97;92;127;108;90;81;60;45;46;45;1407
"310370 Araponga";288;275;331;336;329;337;346;340;288;242;231;187;152;124;90;70;96;4062
"310375 Araporã";255;252;237;282;303;290;273;283;221;220;176;141;116;90;64;44;56;3303
"310380 Arapuá";71;77;78;87;101;76;88;95;120;131;101;73;79;74;53;50;53;1407
"310390 Araújos";315;327;343;347;360;392;364;310;292;274;269;220;164;128;106;72;102;4385
"310400 Araxá";2965;3028;3273;3790;4184;4461;4471;4048;3618;3544;3401;3092;2500;1749;1294;987;1226;51631
"310410 Arceburgo";338;357;341;373;394;424;392;354;334;318;303;263;235;176;143;110;148;5003
"310420 Arcos";1062;1128;1189;1372;1502;1564;1693;1614;1435;1466;1435;1236;962;736;504;349;432;19679
"310430 Areado";456;469;467;491;568;563;581;577;482;498;488;417;347;293;225;178;217;7317
"310440 Argirita";71;56;67;84;94;120;96;104;86;100;94;94;72;69;58;39;65;1369
"310445 Aricanduva";217;212;210;214;245;202;189;166;130;146;117;114;99;83;65;45;69;2523
"310450 Arinos";723;629;686;742;754;671;676;642;533;508;491;431;349;276;224;153;185;8673
"310460 Astolfo Dutra";391;403;401;500;554;586;535;544;478;495;490;390;332;258;219;145;188;6909
"310470 Ataléia";438;419;463;511;508;462;449;436;406;440;387;391;353;269;246;175;240;6593
"310480 Augusto de Lima";175;168;185;180;210;186;168;174;163;148;153;129;104;85;74;57;77;2436
"310490 Baependi";521;511;621;671;748;727;737;670;642;648;671;583;490;390;292;206;314;9442
"310500 Baldim";245;244;247;259;306;283;280;253;254;274;291;251;211;173;137;113;158;3979
"310510 Bambuí";554;568;666;848;892;887;834;808;835;895;925;782;662;526;416;341;409;11848
"310520 Bandeira";154;162;167;173;176;181;164;171;142;177;170;131;119;108;94;54;74;2417
"310530 Bandeira do Sul";166;179;178;214;246;226;223;202;206;188;170;161;122;107;74;51;46;2759
"310540 Barão de Cocais";1054;1045;1089;1278;1307;1395;1375;1271;1093;1011;1002;870;679;468;298;255;336;15826
"310550 Barão de Monte Alto";153;148;165;198;239;199;181;180;185;194;201;175;157;125;99;76;125;2800
"310560 Barbacena";3701;3827;4254;5121;5437;5480;5471;5339;5046;5138;5001;4667;3660;2811;2039;1473;1977;70442
"310570 Barra Longa";141;150;139;174;192;158;166;169;186;202;206;197;189;145;110;100;187;2811
"310590 Barroso";630;635;730;821;818;768;800;797;774;774;756;639;490;403;294;204;244;10577
"310600 Bela Vista de Minas";352;353;371;432;391;405;404;393;353;350;350;289;230;197;145;138;149;5302
"310610 Belmiro Braga";110;110;116;127;135;130;106;121;129;119;97;81;73;69;64;43;57;1687
"310620 Belo Horizonte";64662;66529;77454;93481;96122;106365;114935;111659;96195;89869;87982;81288;68032;54532;39886;29551;40785;1319327
"310630 Belo Oriente";958;954;993;1188;1096;1043;1060;1029;939;807;748;602;475;382;270;190;263;12997
"310640 Belo Vale";202;206;231;274;295;277;295;277;267;271;302;222;216;169;126;98;127;3855
"310650 Berilo";397;390;449;529;554;489;452;420;392;375;318;272;238;170;160;129;148;5882
"310665 Berizal";174;161;187;178;208;199;188;157;141;139;143;106;80;83;62;48;66;2320
"310660 Bertópolis";216;202;163;178;186;145;145;145;131;111;109;98;95;66;60;52;51;2153
"310670 Betim";15041;14546;15755;18991;19038;18896;19154;18145;15504;13966;12616;10698;7963;5194;3411;2465;2741;214124
"310680 Bias Fortes";91;87;99;129;122;104;109;122;123;120;122;111;97;90;61;51;66;1704
"310690 Bicas";387;433;435;525;509;491;573;498;475;506;546;465;422;365;282;209;333;7454
"310700 Biquinhas";50;56;68;80;104;82;84;79;93;97;117;87;75;66;60;40;41;1279
"310710 Boa Esperança";1227;1206;1312;1578;1581;1566;1538;1420;1326;1332;1324;1213;989;735;564;396;582;19889
"310720 Bocaina de Minas";124;122;156;172;201;173;159;174;188;192;178;151;127;88;73;54;67;2399
"310730 Bocaiúva";1777;1744;1889;2009;2170;2227;1995;1918;1660;1563;1397;1200;945;702;546;436;476;24654
"310740 Bom Despacho";1412;1452;1653;1844;1999;2040;1914;1896;1795;1784;1678;1474;1144;885;684;512;619;24785
"310750 Bom Jardim de Minas";174;189;196;237;249;202;206;235;239;242;256;224;179;142;107;95;99;3271
"310760 Bom Jesus da Penha";105;107;117;152;160;148;143;153;149;156;135;140;92;88;57;36;51;1989
"310770 Bom Jesus do Amparo";188;178;205;221;254;245;249;211;189;216;172;157;144;111;88;77;92;2997
"310780 Bom Jesus do Galho";466;462;488;504;578;539;518;532;508;509;513;433;388;318;238;199;243;7436
"310790 Bom Repouso";327;301;351;427;419;390;396;384;381;384;364;302;215;162;116;79;69;5067
"310800 Bom Sucesso";474;478;563;645;674;634;633;662;631;588;586;590;510;386;275;237;314;8880
"310810 Bonfim";149;150;171;212;221;198;210;266;257;292;258;227;221;194;154;118;156;3454
"310820 Bonfinópolis de Minas";182;189;180;192;219;194;197;201;218;192;186;157;133;117;95;62;83;2797
"310825 Bonito de Minas";495;461;501;492;494;454;389;302;252;251;219;200;186;143;114;103;116;5172
"310830 Borda da Mata";498;532;580;625;711;714;694;649;636;635;658;608;481;378;291;238;317;9245
"310840 Botelhos";444;427;455;582;582;532;559;537;532;532;497;459;401;305;244;179;252;7519
"310850 Botumirim";254;243;245;284;312;270;219;201;168;161;168;127;125;94;68;58;67;3064
"310870 Brás Pires";124;133;146;153;175;145;137;143;144;160;163;123;139;106;83;60;94;2228
"310855 Brasilândia de Minas";683;619;659;721;745;690;631;562;509;420;365;292;233;163;124;83;95;7594
"310860 Brasília de Minas";1135;1092;1169;1335;1461;1342;1311;1193;1056;1020;853;719;650;564;452;365;409;16126
"310880 Braúnas";137;144;171;196;206;177;160;163;177;179;153;135;113;101;87;87;120;2506
"310890 Brazópolis";415;414;410;518;561;507;495;544;532;475;454;426;399;327;243;206;268;7194
"310900 Brumadinho";1155;1153;1273;1531;1544;1518;1475;1495;1406;1417;1306;1039;852;644;469;341;454;19072
"310910 Bueno Brandão";299;306;313;377;388;363;358;377;394;376;410;321;285;235;171;138;148;5259
"310920 Buenópolis";328;337;345;408;472;442;369;390;344;322;306;264;228;197;152;118;150;5172
"310925 Bugre";136;154;146;146;170;143;134;138;123;128;128;97;87;66;61;51;60;1968
"310930 Buritis";1008;966;990;1118;1111;947;935;927;768;723;634;511;441;342;220;161;189;11991
"310940 Buritizeiro";1170;1102;1203;1281;1231;1210;1192;1033;897;750;694;628;464;347;250;168;222;13842
"310945 Cabeceira Grande";261;228;253;268;283;238;245;258;242;232;183;172;133;88;68;47;44;3243
"310950 Cabo Verde";422;390;427;492;534;514;487;487;452;440;384;392;266;215;175;126;169;6372
"310960 Cachoeira da Prata";90;85;105;130;141;143;147;159;135;135;147;131;99;86;76;58;74;1941
"310970 Cachoeira de Minas";351;335;330;417;381;371;394;413;380;402;391;324;267;224;172;127;139;5418
"310270 Cachoeira de Pajeú";354;317;373;386;398;342;329;335;287;283;250;223;202;161;133;107;117;4597
"310980 Cachoeira Dourada";94;86;81;109;115;113;106;109;98;98;85;76;51;46;31;27;44;1369
"310990 Caetanópolis";309;308;336;405;448;450;443;393;358;395;406;367;277;224;154;123;167;5563
"311000 Caeté";1341;1325;1500;1713;1640;1736;1773;1746;1552;1511;1552;1353;1073;842;632;500;609;22398
"311010 Caiana";190;181;195;229;223;222;200;168;186;177;151;119;104;71;57;50;59;2582
"311020 Cajuri";114;116;114;127;157;140;141;152;124;112;118;121;110;73;63;51;70;1903
"311030 Caldas";382;387;429;456;541;471;502;485;484;528;531;452;394;332;235;183;212;7004
"311040 Camacho";77;76;80;103;103;119;113;105;109;103;89;89;71;62;40;31;43;1413
"311050 Camanducaia";666;647;755;855;918;811;825;802;765;701;659;596;466;400;272;192;216;10546
"311060 Cambuí";769;825;873;1045;1117;1096;1154;1092;1037;1027;974;933;734;620;446;321;382;14445
"311070 Cambuquira";363;379;421;482;525;470;452;451;417;420;427;430;354;282;194;167;266;6500
"311080 Campanário";118;120;145;173;191;150;124;130;132;120;107;104;85;66;57;45;45;1912
"311090 Campanha";498;487;555;639;663;627;573;548;537;540;538;493;411;295;213;171;256;8044
"311100 Campestre";596;561;684;807;841;749;742;755;743;704;667;589;512;386;294;194;263;10087
"311110 Campina Verde";513;527;568;620;701;716;680;724;745;726;758;660;478;397;311;248;292;9664
"311115 Campo Azul";139;123;122;143;158;150;129;112;108;101;89;93;87;64;53;41;54;1766
"311120 Campo Belo";1485;1545;1632;1907;1924;2018;2105;2126;1948;1855;1843;1791;1526;1202;880;698;945;27430
"311130 Campo do Meio";353;331;374;424;460;424;436;417;407;416;368;408;309;227;167;121;144;5786
"311140 Campo Florido";295;251;294;335;319;312;321;288;228;197;202;162;112;106;72;53;58;3605
"311150 Campos Altos";532;543;585;596;578;591;589;536;506;455;407;358;311;219;177;129;141;7253
"311160 Campos Gerais";924;865;1003;1148;1173;1029;1046;1068;1061;993;866;779;645;479;388;250;317;14034
"311190 Cana Verde";149;149;191;185;182;208;210;197;195;173;181;184;153;119;94;73;96;2739
"311170 Canaã";124;121;132;155;186;182;177;179;153;143;129;149;123;86;72;58;74;2243
"311180 Canápolis";365;364;368;427;463;486;444;435;394;396;354;290;249;193;138;94;122;5582
"311200 Candeias";353;348;420;521;526;530;551;539;537;530;512;482;395;311;246;180;273;7254
"311205 Cantagalo";186;184;176;177;205;222;175;161;122;118;109;106;97;71;66;55;73;2303
"311210 Caparaó";194;173;212;254;210;230;199;189;179;163;127;125;87;58;43;27;39;2509
"311220 Capela Nova";122;137;155;153;165;168;177;155;161;194;186;149;138;105;87;68;104;2424
"311230 Capelinha";1547;1460;1586;1829;1824;1756;1606;1369;1183;1004;904;781;633;442;365;273;297;18859
"311240 Capetinga";225;205;233;255;258;236;245;234;218;210;182;195;159;139;101;90;104;3289
"311250 Capim Branco";284;280;310;384;410;381;386;398;316;314;319;269;228;157;129;105;149;4819
"311260 Capinópolis";516;522;539;567;600;605;566;581;575;573;537;439;340;270;219;149;161;7759
"311265 Capitão Andrade";217;209;201;201;204;215;214;189;174;163;168;147;121;88;83;61;70;2725
"311270 Capitão Enéas";610;574;648;704;731;647;551;512;449;417;356;303;236;178;148;122;120;7306
"311280 Capitólio";238;243;276;306;307;295;313;332;344;313;308;253;228;174;108;79;117;4234
"311290 Caputira";340;300;325;355;345;337;328;330;311;295;281;233;203;156;126;91;130;4486
"311300 Caraí";1036;979;978;1020;975;911;815;702;637;627;561;486;482;375;298;271;320;11473
"311310 Caranaíba";90;91;102;118;121;117;110;113;129;127;110;94;81;59;52;40;56;1610
"311320 Carandaí";726;733;873;942;1021;982;928;957;898;918;904;773;598;483;343;244;323;12646
"311330 Carangola";942;966;1077;1295;1288;1205;1209;1230;1167;1164;1158;1037;919;738;510;398;599;16902
"311340 Caratinga";2966;2931;3264;3615;3657;3782;3800;3579;3286;3057;2782;2474;2139;1554;1197;938;1141;46162
"311350 Carbonita";314;294;332;383;436;391;361;329;285;287;281;209;178;153;114;98;136;4581
"311360 Careaçu";223;221;267;264;220;210;259;247;235;217;204;169;152;134;79;66;89;3256
"311370 Carlos Chagas";590;586;621;718;804;800;738;676;631;623;611;564;479;400;320;234;341;9736
"311380 Carmésia";90;92;93;105;101;94;89;86;96;81;84;60;58;46;38;33;34;1280
"311390 Carmo da Cachoeira";445;402;451;519;514;500;451;409;414;394;407;303;252;199;141;113;134;6048
"311400 Carmo da Mata";309;308;386;432;438;416;402;436;396;412;381;331;291;216;190;144;198;5686
"311410 Carmo de Minas";534;494;531;631;614;573;566;577;535;473;429;367;311;215;167;126;168;7311
"311420 Carmo do Cajuru";694;696;749;935;890;804;817;831;809;777;715;614;457;378;285;198;242;10891
"311430 Carmo do Paranaíba";837;836;962;1080;1151;1050;1063;1099;1098;1077;1060;938;792;602;491;353;459;14948
"311440 Carmo do Rio Claro";622;631;643;721;802;761;778;811;745;699;720;627;507;361;281;233;271;10213
"311450 Carmópolis de Minas";545;546;648;716;722;760;731;674;663;664;593;495;378;290;227;196;209;9057
"311455 Carneirinho";288;306;335;358;366;372;385;396;353;332;310;270;224;187;129;83;118;4812
"311460 Carrancas";120;116;122;143;165;142;146;133;117;135;154;128;110;86;65;52;54;1988
"311470 Carvalhópolis";107;98;112;143;116;126;134;115;112;133;117;102;94;79;53;38;69;1748
"311480 Carvalhos";93;97;126;142;182;170;137;153;157;168;196;142;132;97;71;58;77;2198
"311490 Casa Grande";63;62;71;84;85;75;88;95;85;82;72;56;52;47;32;25;26;1100
"311500 Cascalho Rico";94;86;91;99;97;92;84;102;105;103;106;85;73;55;56;36;31;1395
"311510 Cássia";520;505;591;638;725;636;619;607;607;584;560;580;468;377;268;191;276;8752
"311530 Cataguases";1927;2029;2203;2583;2811;2861;2851;2694;2656;2652;2700;2428;1989;1588;1261;933;1292;37458
"311535 Catas Altas";177;177;190;223;219;204;197;228;197;177;159;146;116;86;64;47;58;2665
"311540 Catas Altas da Noruega";112;113;126;143;157;157;158;138;120;100;95;91;72;60;51;39;47;1779
"311545 Catuji";282;262;290;290;292;265;241;226;188;175;160;148;119;97;69;57;85;3246
"311547 Catuti";171;146;159;186;235;203;180;173;166;183;164;126;98;82;73;54;56;2455
"311550 Caxambu";603;618;659;745;819;751;812;787;765;789;773;769;654;533;416;309;423;11225
"311560 Cedro do Abaeté";31;24;35;47;34;41;48;37;38;37;39;40;34;23;21;25;21;575
"311570 Central de Minas";203;208;240;262;273;245;256;258;264;255;253;225;177;137;112;89;112;3569
"311580 Centralina";319;319;338;383;411;397;373;372;367;358;328;306;245;194;158;119;141;5128
"311590 Chácara";72;61;89;122;116;101;92;95;106;133;124;106;87;69;55;40;45;1513
"311600 Chalé";173;155;183;226;219;226;223;202;200;187;178;151;144;110;84;68;97;2826
"311610 Chapada do Norte";617;608;677;716;788;727;610;503;466;435;384;309;277;211;165;119;133;7745
"311615 Chapada Gaúcha";629;579;588;612;652;627;509;368;301;260;216;200;177;106;99;71;76;6070
"311620 Chiador";88;95;94;121;98;115;88;98;86;92;96;78;74;62;57;37;50;1429
"311630 Cipotânea";184;173;208;252;291;299;253;232;222;215;222;176;141;114;106;87;111;3286
"311640 Claraval";170;182;179;191;195;186;179;153;158;132;131;120;105;76;58;42;37;2294
"311650 Claro dos Poções";238;227;236;289;319;297;261;269;279;250;223;196;173;158;134;103;123;3775
"311660 Cláudio";912;884;1001;1150;1167;1152;1127;1102;969;871;830;692;559;403;297;233;287;13636
"311670 Coimbra";213;218;242;295;290;265;271;279;246;261;255;205;169;147;108;71;140;3675
"311680 Coluna";337;321;338;371;395;396;325;324;280;260;207;210;200;149;136;105;126;4480
"311690 Comendador Gomes";108;121;108;110;111;114;105;95;95;89;110;78;54;42;35;27;33;1435
"311700 Comercinho";251;260;268;284;311;259;249;242;227;207;194;182;168;152;136;98;137;3625
"311710 Conceição da Aparecida";345;361;359;360;384;406;377;360;340;322;302;282;239;190;138;95;159;5019
"311520 Conceição da Barra de Minas";103;102;121;158;146;148;145;149;144;144;125;102;82;75;55;42;50;1891
"311730 Conceição das Alagoas";1020;984;1027;1166;1120;1146;1097;951;835;750;660;535;402;282;195;134;149;12453
"311720 Conceição das Pedras";70;71;74;90;86;103;99;98;111;91;97;81;63;51;45;30;43;1303
"311740 Conceição de Ipanema";143;140;155;143;151;153;171;171;160;174;144;114;104;94;83;71;81;2252
"311750 Conceição do Mato Dentro";661;628;656;741;796;689;608;577;521;517;521;430;357;300;259;201;311;8773
"311760 Conceição do Pará";166;160;180;185;202;191;201;200;174;185;181;153;117;104;93;63;90;2645
"311770 Conceição do Rio Verde";468;457;502;584;549;486;495;450;423;423;401;367;297;246;202;159;189;6698
"311780 Conceição dos Ouros";389;399;405;462;445;460;425;376;387;395;346;288;225;186;133;86;97;5504
"311783 Cônego Marinho";277;256;313;335;345;311;287;237;215;194;172;162;149;148;103;84;121;3709
"311787 Confins";189;174;202;277;298;277;268;275;278;228;210;170;145;95;83;64;73;3306
"311790 Congonhal";303;281;325;394;422;407;439;421;430;413;393;371;307;231;167;117;159;5580
"311800 Congonhas";1676;1726;1819;2147;2330;2231;2327;2100;1850;1843;1774;1549;1159;861;583;439;524;26938
"311810 Congonhas do Norte";175;154;181;204;235;185;177;162;156;145;145;116;120;102;85;69;85;2496
"311820 Conquista";204;224;230;250;264;257;267;252;236;218;216;206;165;141;101;62;101;3394
"311830 Conselheiro Lafaiete";3623;3741;4146;4726;4978;5350;5431;5054;4376;4353;4466;4058;3209;2429;1715;1234;1631;64520
"311840 Conselheiro Pena";764;753;830;914;889;863;851;853;807;799;737;669;599;459;372;281;346;11786
"311850 Consolação";50;52;56;68;71;64;49;54;57;57;63;51;40;38;32;25;30;857
"311860 Contagem";19836;19945;22342;26318;27139;28317;29893;28850;25083;22873;21075;18633;14901;10908;7407;5136;5699;334355
"311870 Coqueiral";270;269;319;395;387;351;344;306;305;300;318;291;233;176;131;110;147;4652
"311880 Coração de Jesus";992;941;919;1096;1134;1085;1025;937;773;796;759;630;544;441;355;270;332;13029
"311890 Cordisburgo";227;240;251;282;325;328;315;311;296;313;274;254;245;182;152;127;149;4271
