
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";418;426;557;521;472;530;513;533;564;471;410;417;330;275;166;109;115;6827
"310020 Abaeté";1377;1619;1944;1870;1842;1696;1617;1620;1751;1700;1488;1257;996;806;627;411;486;23107
"310030 Abre Campo";914;1077;1202;1223;1017;1041;1010;918;935;891;780;682;527;413;375;268;283;13556
"310040 Acaiaca";279;277;390;375;286;289;286;309;259;261;202;176;149;154;110;83;107;3992
"310050 Açucena";687;874;1145;988;749;690;688;695;628;602;544;496;420;384;321;279;275;10465
"310060 Água Boa";1232;1595;1993;1680;1216;1008;1053;957;903;836;678;638;461;427;344;214;239;15474
"310070 Água Comprida";107;141;151;178;177;163;145;150;142;136;135;128;98;65;63;45;38;2062
"310080 Aguanil";257;271;369;322;298;300;310;273;300;288;272;248;209;136;124;67;84;4128
"310090 Águas Formosas";1446;1812;1887;1894;1468;1505;1252;1249;1095;1039;827;812;678;637;535;325;358;18819
"310100 Águas Vermelhas";1025;1247;1357;1394;1169;974;901;806;733;721;616;536;461;357;262;171;226;12956
"310110 Aimorés";1707;1921;2130;2117;1904;1862;1904;1786;1719;1699;1502;1298;1065;862;732;560;650;25418
"310120 Aiuruoca";326;435;501;531;460;406;451;419;475;462;431;350;285;257;198;154;134;6275
"310130 Alagoa";168;180;249;230;178;179;157;160;219;248;199;175;128;81;77;70;61;2759
"310140 Albertina";186;196;275;260;224;238;227;266;198;172;164;168;103;103;73;60;54;2967
"310150 Além Paraíba";2239;2465;2863;2839;2518;2676;2620;2490;2490;2513;2313;1871;1428;1096;917;768;874;34980
"310160 Alfenas";4914;5240;6133;6445;6651;6385;6026;5305;5237;5205;4575;3839;2947;2147;1649;1158;1274;75130
"310163 Alfredo Vasconcelos";433;492;540;572;502;479;474;469;502;418;339;291;212;178;122;88;76;6187
"310170 Almenara";3011;3323;3525;3504;3566;3381;2926;2732;2569;2356;1872;1726;1365;1232;1000;679;721;39488
"310180 Alpercata";492;633;765;681;534;539;556;530;433;452;376;330;255;251;196;136;145;7304
"310190 Alpinópolis";1227;1355;1711;1673;1622;1561;1374;1305;1391;1281;1134;961;684;507;433;287;322;18828
"310200 Alterosa";895;1047;1164;1088;1090;1104;1022;1013;964;949;828;715;616;481;412;283;298;13969
"310205 Alto Caparaó";403;434;487;456;485;473;424;402;352;357;286;248;167;130;113;85;92;5394
"315350 Alto Jequitibá";572;664;761;675;686;671;663;569;579;577;511;444;284;220;204;181;210;8471
"310210 Alto Rio Doce";695;871;1117;1175;985;859;839;784;900;798;731;637;567;463;388;255;318;12382
"310220 Alvarenga";303;353;413;416;332;340;318;299;258;305;286;236;182;154;123;95;113;4526
"310230 Alvinópolis";971;1125;1364;1358;1188;1178;1161;1018;1070;1056;895;748;662;520;440;377;410;15541
"310240 Alvorada de Minas";350;428;413;365;271;247;230;239;202;183;161;158;90;90;74;43;67;3611
"310250 Amparo do Serra";307;388;509;475;330;355;374;339;348;325;312;253;223;177;164;114;153;5146
"310260 Andradas";2283;2401;2819;3053;3145;3190;2993;2877;2830;2693;2361;2029;1576;1205;963;780;757;37955
"310280 Andrelândia";711;882;961;998;811;893;964;910;923;890;809;715;615;447;347;265;256;12397
"310285 Angelândia";714;945;1074;902;707;645;568;481;456;356;292;277;221;176;139;97;100;8150
"310290 Antônio Carlos";666;819;953;1011;904;849;888;918;830;825;649;533;491;364;262;166;190;11318
"310300 Antônio Dias";723;808;1001;948;791;709;722;674;666;620;520;426;335;273;249;130;146;9741
"310310 Antônio Prado de Minas";75;110;124;129;118;117;111;112;125;134;110;109;82;74;65;53;54;1702
"310320 Araçaí";143;176;224;197;179;167;157;151;176;165;129;110;100;68;58;48;36;2284
"310330 Aracitaba";94;137;165;182;141;126;130;119;182;156;167;137;104;81;62;59;54;2096
"310340 Araçuaí";2804;3119;3560;3846;3224;3051;2554;2426;2252;2115;1688;1369;1190;1055;918;668;836;36675
"310350 Araguari";7031;7675;8533;8892;9600;9186;9002;8279;8593;8087;6773;5594;4563;3472;2785;1802;1952;111819
"310360 Arantina";165;210;262;240;158;172;192;204;252;222;199;167;124;93;94;66;55;2875
"310370 Araponga";595;740;827;785;765;736;714;573;501;479;383;343;263;183;175;115;125;8302
"310375 Araporã";518;464;570;578;582;568;565;484;471;326;284;238;212;145;110;82;60;6257
"310380 Arapuá";155;166;215;224;155;192;203;247;240;186;166;175;146;113;107;63;73;2826
"310390 Araújos";620;627;666;654;768;713;636;596;562;527;439;326;263;202;166;111;152;8028
"310400 Araxá";6052;6385;7279;7908;8744;8818;7893;6859;6869;6606;6103;4906;3443;2666;1998;1394;1470;95393
"310410 Arceburgo";685;660;748;845;944;790;729;672;664;585;560;494;373;317;244;177;197;9684
