"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";411;416;475;543;502;496;522;515;538;531;446;402;357;278;201;121;128;6882
"310020 Abaeté";1309;1446;1707;1848;1801;1753;1638;1585;1640;1730;1619;1386;1121;867;673;479;549;23151
"310030 Abre Campo";873;954;1071;1127;1078;1005;1020;960;904;914;848;728;599;452;365;294;329;13521
"310040 Acaiaca";270;280;308;354;312;276;287;290;276;258;239;195;169;144;126;89;120;3993
"310050 Açucena";662;727;900;933;783;680;669;672;656;618;571;509;442;380;326;270;327;10125
"310060 Água Boa";1172;1289;1578;1582;1286;1039;976;962;879;849;743;625;532;400;343;244;259;14758
"310070 Água Comprida";101;116;140;158;169;166;148;142;143;140;138;125;110;82;60;51;51;2040
"310080 Aguanil";256;268;309;354;315;303;309;300;289;302;291;270;231;162;117;85;89;4250
"310090 Águas Formosas";1419;1569;1740;1747;1598;1454;1413;1253;1173;1072;958;811;743;630;552;403;417;18952
"310100 Águas Vermelhas";1009;1098;1238;1276;1222;1077;938;858;777;734;687;587;491;405;300;204;254;13155
"310110 Aimorés";1635;1757;1932;2024;1934;1840;1847;1825;1731;1692;1599;1393;1150;917;738;586;732;25332
"310120 Aiuruoca";305;356;446;486;476;425;412;426;431;469;449;397;316;254;210;159;165;6182
"310130 Alagoa";160;167;196;223;196;176;171;159;185;236;230;181;142;100;70;64;74;2730
"310140 Albertina";183;187;226;270;239;226;233;238;230;186;164;158;137;96;82;60;66;2981
"310150 Além Paraíba";2129;2296;2586;2824;2670;2560;2643;2522;2418;2468;2419;2078;1600;1207;936;762;992;35110
"310160 Alfenas";4769;5027;5663;6344;6461;6500;6269;5734;5213;5200;4940;4213;3375;2495;1802;1302;1486;76793
"310163 Alfredo Vasconcelos";432;466;521;559;539;491;490;486;483;475;386;314;251;193;148;100;99;6433
"310170 Almenara";2932;3125;3331;3382;3394;3484;3265;2863;2633;2479;2158;1796;1552;1244;1051;777;845;40311
"310180 Alpercata";484;548;658;681;583;533;556;538;476;435;418;353;298;243;213;155;173;7345
"310190 Alpinópolis";1204;1260;1488;1706;1656;1591;1476;1327;1318;1347;1216;1042;831;577;439;331;369;19178
"310200 Alterosa";873;934;1060;1112;1072;1094;1060;1000;979;958;907;779;663;540;425;327;356;14139
"310205 Alto Caparaó";397;406;456;486;470;481;450;413;383;356;323;263;208;144;114;92;107;5549
"315350 Alto Jequitibá";541;584;665;692;653;659;648;602;554;570;537;473;371;247;201;178;243;8418
"310210 Alto Rio Doce";645;740;907;1027;976;866;819;793;804;842;757;673;578;476;383;285;339;11910
"310220 Alvarenga";278;309;340;354;341;322;322;292;265;269;289;250;194;153;123;94;120;4315
"310230 Alvinópolis";925;1002;1169;1289;1220;1150;1159;1081;1011;1051;974;822;692;576;451;375;479;15426
"310240 Alvorada de Minas";353;372;385;355;302;252;236;227;221;196;168;151;121;81;72;51;66;3609
"310250 Amparo do Serra";291;324;397;433;375;323;348;347;331;334;314;276;225;184;154;125;162;4943
"310260 Andradas";2220;2364;2653;3035;3145;3180;3134;2951;2848;2797;2582;2219;1796;1356;1024;800;918;39022
"310280 Andrelândia";673;764;876;922;886;834;924;939;899;912;866;771;642;498;362;272;298;12338
"310285 Angelândia";727;780;930;921;777;672;618;531;453;409;338;288;246;198;153;112;123;8276
"310290 Antônio Carlos";639;711;855;953;937;872;861;886;862;823;753;595;501;410;292;197;215;11362
"310300 Antônio Dias";697;726;839;897;808;726;696;681;654;640;576;469;364;274;228;164;157;9596
"310310 Antônio Prado de Minas";67;87;109;119;117;111;107;107;114;130;130;106;93;78;68;56;67;1666
"310320 Araçaí";140;155;191;200;177;169;161;154;161;173;153;120;100;87;63;51;51;2306
"310330 Aracitaba";91;111;141;160;157;134;132;131;145;172;160;151;121;90;68;55;66;2085
"310340 Araçuaí";2713;2877;3163;3439;3338;3055;2829;2475;2304;2167;1908;1515;1244;1074;923;730;932;36686
"310350 Araguari";6748;7255;8080;8814;9156;9344;9083;8650;8295;8361;7491;6170;5017;3888;2938;2120;2271;113681
"310360 Arantina";155;181;220;230;191;162;183;197;223;242;206;179;147;104;86;73;69;2848
"310370 Araponga";581;629;743;777;745;738;723;652;538;490;437;354;291;214;163;131;143;8349
"310375 Araporã";512;499;523;602;602;583;566;515;447;388;296;255;214;173;121;89;81;6466
"310380 Arapuá";148;160;177;204;189;169;198;218;237;223;176;165;163;129;106;81;86;2829
"310390 Araújos";618;641;674;707;733;772;698;622;582;550;490;383;288;226;174;129;167;8454
"310400 Araxá";5946;6301;6997;7956;8552;9045;8662;7524;6826;6804;6355;5501;4176;2955;2204;1564;1727;99095
"310410 Arceburgo";676;705;738;824;907;910;783;706;662;635;578;525;426;320;255;187;219;10056
"310420 Arcos";2170;2339;2610;2970;3107;3329;3320;2969;2803;2847;2607;2156;1663;1229;868;598;648;38233
"310430 Areado";925;962;1006;1115;1194;1193;1144;1029;940;973;917;778;618;510;415;297;338;14354
"310440 Argirita";151;162;196;221;221;220;203;196;188;194;181;176;142;129;106;78;112;2876
"310445 Aricanduva";426;446;478;483;454;376;367;316;285;278;257;229;172;141;105;73;99;4985
"310450 Arinos";1467;1555;1692;1672;1498;1361;1357;1201;1070;1062;977;818;664;516;420;304;322;17956
"310460 Astolfo Dutra";799;835;925;1102;1157;1146;1073;992;935;972;867;720;594;485;381;268;342;13593
"310470 Ataléia";934;1059;1251;1248;1113;983;952;911;874;866;820;764;643;526;441;310;393;14088
"310480 Augusto de Lima";365;393;420;429;413;364;355;343;323;319;296;237;193;167;140;107;125;4989
"310490 Baependi";1076;1218;1380;1494;1520;1449;1405;1299;1273;1339;1289;1098;900;687;510;388;490;18815
"310500 Baldim";517;559;608;653;633;566;547;503;510;562;540;444;360;299;255;192;231;7979
"310510 Bambuí";1144;1288;1557;1785;1797;1764;1655;1625;1747;1857;1741;1442;1154;924;753;575;575;23383
"310520 Bandeira";321;358;400;390;373;368;350;337;336;347;303;267;235;205;154;104;134;4982
"310530 Bandeira do Sul";336;357;421;500;490;457;429;410;400;372;341;292;227;190;134;92;94;5542
"310540 Barão de Cocais";2095;2165;2393;2670;2696;2783;2632;2290;2011;1960;1875;1513;1076;710;511;397;470;30247
"310550 Barão de Monte Alto";324;361;416;462;443;390;365;358;370;393;381;332;295;236;190;153;210;5679
