Código,Município,ano,Hep A F,Hep A M,Hep B F,Hep B M,Hep C Antigo,Hep C F,Hep C M,Hep C Novo,Hep D F,Hep D M,Hepatite A,Hepatite B,Hepatite C,Hepatite D,Tx Det F Hep A F,Tx Det F Hep B F,Tx Det F Hep C F,Tx Det Hep A,Tx Det Hep B,Tx Det Hep C,Tx Det Hep C Antigo,Tx Det Hep C Novo,Tx Det M Hep A M,Tx Det M Hep B M,Tx Det M Hep C M,Óbitos A,Óbitos B,Óbitos C,Óbitos D
310020,Abaeté,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2009,0,0,0,1,1,0,1,1,0,0,0,1,1,0,"0,0","0,0","0,0","0,0","4,3","4,3","4,3","4,3","0,0","8,7","8,7",0,0,0,0
310020,Abaeté,2010,1,0,0,2,0,0,0,0,0,0,1,2,0,0,"8,7","0,0","0,0","4,4","8,8","0,0","0,0","0,0","0,0","17,8","0,0",0,0,0,0
310020,Abaeté,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,3","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2015,0,0,0,1,0,0,1,1,0,0,0,1,1,0,"0,0","0,0","0,0","0,0","4,3","4,3","0,0","4,3","0,0","8,7","8,7",0,0,0,0
310020,Abaeté,2016,1,0,0,0,0,1,0,1,0,0,1,0,1,0,"8,6","0,0","8,6","4,3","0,0","4,3","0,0","4,3","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310020,Abaeté,2019,0,0,0,0,2,1,1,2,0,0,0,0,2,0,"0,0","0,0","8,5","0,0","0,0","8,6","8,6","8,6","0,0","0,0","8,7",0,0,0,0
310020,Abaeté,2020,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"0,0","0,0","8,5","0,0","0,0","4,3","0,0","4,3","0,0","0,0","0,0",,,,
310320,Araçaí,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2015,0,0,0,1,1,0,1,1,0,0,0,1,1,0,"0,0","0,0","0,0","0,0","43,1","43,1","43,1","43,1","0,0","90,2","90,2",0,0,0,0
310320,Araçaí,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2017,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0,0","0,0","0,0","0,0","42,8","0,0","0,0","0,0","0,0","89,9","0,0",0,0,0,0
310320,Araçaí,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310320,Araçaí,2019,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0,0","0,0","0,0","0,0","42,6","0,0","0,0","0,0","0,0","89,8","0,0",0,0,0,0
310320,Araçaí,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,
310390,Araújos,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2009,0,0,1,1,0,0,0,0,0,0,0,2,0,0,"0,0","27,0","0,0","0,0","26,0","0,0","0,0","0,0","0,0","25,1","0,0",0,0,0,0
310390,Araújos,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2011,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0,0","0,0","0,0","0,0","12,5","0,0","0,0","0,0","0,0","24,5","0,0",0,0,0,0
310390,Araújos,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2015,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0,0","23,2","0,0","0,0","11,4","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
310390,Araújos,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,0,0
