semana,comeco,fim,ano
1,3012010,9012010,2010
2,10012010,16012010,2010
3,17012010,23012010,2010
4,24012010,30012010,2010
5,31012010,6022010,2010
6,7022010,13022010,2010
7,14022010,20022010,2010
8,21022010,27022010,2010
9,28022010,6032010,2010
10,7032010,13032010,2010
11,14032010,20032010,2010
12,21032010,27032010,2010
13,28032010,3042010,2010
14,4042010,10042010,2010
15,11042010,17042010,2010
16,18042010,24042010,2010
17,25042010,1052010,2010
18,2052010,8052010,2010
19,9052010,15052010,2010
20,16052010,22052010,2010
21,23052010,29052010,2010
22,30052010,5062010,2010
23,6062010,12062010,2010
24,13062010,19062010,2010
25,20062010,26062010,2010
26,27062010,3072010,2010
27,4072010,10072010,2010
28,11072010,17072010,2010
29,18072010,24072010,2010
30,25072010,31072010,2010
31,1082010,7082010,2010
32,8082010,14082010,2010
33,15082010,21082010,2010
34,22082010,28082010,2010
35,29082010,4092010,2010
36,5092010,11092010,2010
37,12092010,18092010,2010
38,19092010,25092010,2010
39,26092010,21092010,2010
40,3102010,9102010,2010
41,10102010,16102010,2010
42,17102010,23102010,2010
43,24102010,30102010,2010
44,31102010,6112010,2010
45,7112010,13112010,2010
46,14112010,20112010,2010
47,21112010,27112010,2010
48,28112010,4122010,2010
49,5122010,11122010,2010
50,12122010,18122010,2010
51,19122010,25122010,2010
52,26122010,1012011,2010
1,2012011,8012011,2011
2,9012011,15012011,2011
3,16012011,22012011,2011
4,23012011,29012011,2011
5,30012011,5022011,2011
6,6022011,12022011,2011
7,13022011,19022011,2011
8,20022011,26022011,2011
9,27022011,5032011,2011
10,6032011,12032011,2011
11,13032011,19032011,2011
12,20032011,26032011,2011
13,27032011,2042011,2011
14,3042011,9042011,2011
15,10042011,16042011,2011
16,17042011,23042011,2011
17,24042011,30042011,2011
18,1052011,7052011,2011
19,8052011,14052011,2011
20,15052011,21052011,2011
21,22052011,28052011,2011
22,29052011,4062011,2011
23,5062011,11062011,2011
24,12062011,18062011,2011
25,19062011,25062011,2011
26,26062011,2072011,2011
27,3072011,9072011,2011
28,10072011,16072011,2011
29,17072011,23072011,2011
30,24072011,30072011,2011
31,31072011,6082011,2011
32,7082011,13082011,2011
33,14082011,20082011,2011
34,21082011,27082011,2011
35,28082011,3092011,2011
36,4092011,10092011,2011
37,11092011,17092011,2011
38,18092011,24092011,2011
39,25092011,1102011,2011
40,2102011,8102011,2011
41,9102011,15102011,2011
42,16102011,22102011,2011
43,23102011,29102011,2011
44,30102011,5112011,2011
45,6112011,12112011,2011
46,13112011,19112011,2011
47,20112011,26112011,2011
48,27112011,3122011,2011
49,4122011,10122011,2011
50,11122011,17122011,2011
51,18122011,24122011,2011
52,25122011,31122011,2011
1,1012012,7012012,2012
2,8012012,14012012,2012
3,15012012,21012012,2012
4,22012012,28012012,2012
5,29012012,4022012,2012
6,5022012,11022012,2012
7,12022012,18022012,2012
8,19022012,25022012,2012
9,26022012,3032012,2012
10,4032012,10032012,2012
11,11032012,17032012,2012
12,18032012,24032012,2012
13,25032012,31032012,2012
14,1042012,7042012,2012
15,8042012,14042012,2012
16,15042012,21042012,2012
17,22042012,28042012,2012
18,29042012,5052012,2012
19,6052012,12052012,2012
20,13052012,19052012,2012
21,20052012,26052012,2012
22,27052012,2062012,2012
23,3062012,9062012,2012
24,10062012,16062012,2012
25,17062012,23062012,2012
26,24062012,30062012,2012
27,1072012,7072012,2012
28,8072012,14072012,2012
29,15072012,21072012,2012
30,22072012,28072012,2012
31,29072012,4082012,2012
32,5082012,11082012,2012
33,12082012,18082012,2012
34,19082012,25082012,2012
35,26082012,1092012,2012
36,2092012,8092012,2012
37,9092012,15092012,2012
38,16092012,22092012,2012
39,23092012,29092012,2012
40,30092012,6102012,2012
41,7102012,13102012,2012
42,14102012,20102012,2012
43,21102012,27102012,2012
44,28102012,3112012,2012
45,4112012,10112012,2012
46,11112012,17112012,2012
47,18112012,24112012,2012
48,25112012,1122012,2012
49,2122012,8122012,2012
50,9122012,15122012,2012
51,16122012,22122012,2012
52,23122012,29122012,2012
1,30122012,5012013,2013
2,6012013,12012013,2013
3,13012013,19012013,2013
4,20012013,26012013,2013
5,27012013,2022013,2013
6,3022013,9022013,2013
7,10022013,16022013,2013
8,17022013,23022013,2013
9,24022013,2032013,2013
10,3032013,9032013,2013
11,10032013,16032013,2013
12,17032013,23032013,2013
13,24032013,30032013,2013
14,31032013,6042013,2013
15,7042013,13042013,2013
16,14042013,20042013,2013
17,21042013,27042013,2013
18,28042013,4052013,2013
19,5052013,11052013,2013
20,12052013,18052013,2013
21,19052013,25052013,2013
22,26052013,1062013,2013
23,2062013,8062013,2013
24,9062013,15062013,2013
25,16062013,22062013,2013
26,23062013,29062013,2013
27,30062013,6072013,2013
28,7072013,13072013,2013
29,14072013,20072013,2013
30,21072013,27072013,2013
31,28072013,3082013,2013
32,4082013,10082013,2013
33,11082013,17082013,2013
34,18082013,24082013,2013
35,25082013,31082013,2013
36,1092013,7092013,2013
37,8092013,14092013,2013
38,15092013,21092013,2013
39,22092013,28092013,2013
40,29092013,5102013,2013
41,6102013,12102013,2013
42,13102013,19102013,2013
43,20102013,26102013,2013
44,27102013,2112013,2013
45,3112013,9112013,2013
46,10112013,16112013,2013
47,17112013,23112013,2013
48,24112013,30112013,2013
49,1122013,7122013,2013
50,8122013,14122013,2013
51,15122013,21122013,2013
52,22122013,28122013,2013
1,29122013,4012014,2014
2,5012014,11012014,2014
3,12012014,18012014,2014
4,19012014,25012014,2014
5,26012014,1022014,2014
6,2022014,8022014,2014
7,9022014,15022014,2014
8,16022014,22022014,2014
9,23022014,1032014,2014
10,2032014,8032014,2014
11,9032014,15032014,2014
12,16032014,22032014,2014
13,23032014,29032014,2014
14,30032014,5042014,2014
15,6042014,12042014,2014
16,13042014,19042014,2014
17,20042014,26042014,2014
18,27042014,3052014,2014
19,4052014,10052014,2014
20,11052014,17052014,2014
21,18052014,24052014,2014
22,25052014,31052014,2014
23,1062014,7062014,2014
24,8062014,14062014,2014
25,15062014,21062014,2014
26,22062014,28062014,2014
27,29062014,5072014,2014
28,6072014,12072014,2014
29,13072014,19072014,2014
30,20072014,26072014,2014
31,27072014,2082014,2014
32,3082014,9082014,2014
33,10082014,16082014,2014
34,17082014,23082014,2014
35,24082014,30082014,2014
36,31082014,6092014,2014
37,7092014,13092014,2014
38,14092014,20092014,2014
39,21092014,27092014,2014
40,28092014,4102014,2014
41,5102014,11102014,2014
42,12102014,18102014,2014
43,19102014,25102014,2014
44,26102014,1112014,2014
45,2112014,8112014,2014
46,9112014,15112014,2014
47,16112014,22112014,2014
48,23112014,29112014,2014
49,30112014,6122014,2014
50,7122014,13122014,2014
51,14122014,20122014,2014
52,21122014,27122014,2014
53,28122014,3012015,2014
1,4012015,10012015,2015
2,11012015,17012015,2015
3,18012015,24012015,2015
4,25012015,31012015,2015
5,1022015,7022015,2015
6,8022015,14022015,2015
7,15022015,21022015,2015
8,22022015,28022015,2015
9,1032015,7032015,2015
10,8032015,14032015,2015
11,15032015,21032015,2015
12,22032015,28032015,2015
13,29032015,4042015,2015
14,5042015,11042015,2015
15,12042015,18042015,2015
16,19042015,25042015,2015
17,26042015,2052015,2015
18,3052015,9052015,2015
19,10052015,16052015,2015
20,17052015,23052015,2015
21,24052015,30052015,2015
22,31052015,6062015,2015
23,7062015,13062015,2015
24,14062015,20062015,2015
25,21062015,27062015,2015
26,28062015,4072015,2015
27,5072015,11072015,2015
28,12072015,18072015,2015
29,19072015,25072015,2015
30,26072015,1082015,2015
31,2082015,8082015,2015
32,9082015,15082015,2015
33,16082015,22082015,2015
34,23082015,29082015,2015
35,30082015,5092015,2015
36,6092015,12092015,2015
37,13092015,19092015,2015
38,20092015,26092015,2015
39,27092015,3102015,2015
40,4102015,10102015,2015
41,11102015,17102015,2015
42,18102015,24102015,2015
43,25102015,31102015,2015
44,1112015,7112015,2015
45,8112015,14112015,2015
46,15112015,21112015,2015
47,22112015,28112015,2015
48,29112015,5122015,2015
49,6122015,12122015,2015
50,13122015,19122015,2015
51,20122015,26122015,2015
52,27122015,2012016,2015
1,3012016,9012016,2016
2,10012016,16012016,2016
3,17012016,23012016,2016
4,24012016,30012016,2016
5,31012016,6022016,2016
6,7022016,13022016,2016
7,14022016,20022016,2016
8,21022016,27022016,2016
9,28022016,5032016,2016
10,6032016,12032016,2016
11,13032016,19032016,2016
12,20032016,26032016,2016
13,27032016,2042016,2016
14,3042016,9042016,2016
15,10042016,16042016,2016
16,17042016,23042016,2016
17,24042016,30042016,2016
18,1052016,7052016,2016
19,8052016,14052016,2016
20,15052016,21052016,2016
21,22052016,28052016,2016
22,29052016,4062016,2016
23,5062016,11062016,2016
24,12062016,18062016,2016
25,19062016,25062016,2016
26,26062016,2072016,2016
27,3072016,9072016,2016
28,10072016,16072016,2016
29,17072016,23072016,2016
30,24072016,30072016,2016
31,31072016,6082016,2016
32,7082016,13082016,2016
33,14082016,20082016,2016
34,21082016,27082016,2016
35,28082016,3092016,2016
36,4092016,10092016,2016
37,11092016,17092016,2016
