ibge7;Município;2010;2012;2014;2016;2018
3100104;Abadia dos Dourados;0,556;0,557;0,506;0,610;0,589
3100203;Abaeté;0,561;0,524;0,469;0,679;0,673
3100302;Abre Campo;0,439;0,479;0,451;0,627;0,660
3100401;Acaiaca;0,645;0,636;0,524;0,674;0,685
3100500;Açucena;0,392;0,495;0,449;0,579;0,591
3100609;Água Boa;0,363;0,516;0,500;0,607;0,608
3100708;Água Comprida;0,474;0,438;0,378;0,510;0,559
3100807;Aguanil;0,526;0,531;0,470;0,605;0,635
3100906;Águas Formosas;0,346;0,489;0,466;0,652;0,674
3101003;Águas Vermelhas;0,332;0,478;0,443;0,662;0,671
3101102;Aimorés;0,445;0,507;0,440;0,622;0,650
3101201;Aiuruoca;0,473;0,517;0,448;0,615;0,630
3101300;Alagoa;0,497;0,500;0,425;0,627;0,673
3101409;Albertina;0,559;0,567;0,513;0,661;0,669
3101508;Além Paraíba;0,553;0,536;0,448;0,577;0,590
3101607;Alfenas;0,552;0,579;0,527;0,694;0,710
3101631;Alfredo Vasconcelos;0,564;0,555;0,506;0,635;0,682
3101706;Almenara;0,419;0,534;0,484;0,593;0,612
3101805;Alpercata;0,438;0,503;0,455;0,522;0,530
3101904;Alpinópolis;0,582;0,563;0,478;0,673;0,662
3102001;Alterosa;0,485;0,524;0,487;0,695;0,693
3102050;Alto Caparaó;0,488;0,532;0,458;0,687;0,686
3153509;Alto Jequitibá;0,567;0,592;0,538;0,644;0,663
3102100;Alto Rio Doce;0,540;0,502;0,428;0,604;0,618
3102209;Alvarenga;0,405;0,499;0,482;0,652;0,620
3102308;Alvinópolis;0,509;0,499;0,433;0,619;0,645
3102407;Alvorada de Minas;0,451;0,511;0,510;0,589;0,609
3102506;Amparo da Serra;0,391;0,459;0,424;0,613;0,613
3102605;Andradas;0,505;0,522;0,459;0,627;0,640
3102803;Andrelândia;0,505;0,523;0,458;0,639;0,655
3102852;Angelândia;0,492;0,571;0,549;0,601;0,647
3102902;Antônio Carlos;0,422;0,484;0,416;0,588;0,610
3103009;Antônio Dias;0,496;0,557;0,508;0,617;0,642
