ibge7;Município;2010;2012;2014;2016;2018
3100104;Abadia dos Dourados;0,867;0,803;0,694;0,740;0,763
3100203;Abaeté;0,678;0,670;0,662;0,666;0,690
3100302;Abre Campo;0,710;0,695;0,692;0,731;0,707
3100401;Acaiaca;0,677;0,753;0,776;0,625;0,820
3100500;Açucena;0,696;0,737;0,844;0,830;0,822
3100609;Água Boa;0,552;0,556;0,514;0,569;0,622
3100708;Água Comprida;0,824;0,815;0,847;0,831;0,791
3100807;Aguanil;0,739;0,750;0,777;0,734;0,757
3100906;Águas Formosas;0,610;0,594;0,706;0,686;0,638
3101003;Águas Vermelhas;0,556;0,627;0,699;0,734;0,669
3101102;Aimorés;0,703;0,748;0,793;0,711;0,696
3101201;Aiuruoca;0,803;0,764;0,754;0,676;0,653
3101300;Alagoa;0,679;0,682;0,884;0,745;0,831
3101409;Albertina;0,741;0,775;0,846;0,747;0,687
3101508;Além Paraíba;0,583;0,593;0,651;0,620;0,490
3101607;Alfenas;0,680;0,732;0,760;0,759;0,613
3101631;Alfredo Vasconcelos;0,586;0,652;0,791;0,781;0,811
3101706;Almenara;0,616;0,596;0,580;0,666;0,567
3101805;Alpercata;0,647;0,790;0,749;0,750;0,647
3101904;Alpinópolis;0,791;0,836;0,815;0,789;0,686
3102001;Alterosa;0,852;0,820;0,817;0,814;0,781
3102050;Alto Caparaó;0,685;0,824;0,718;0,702;0,745
3153509;Alto Jequitibá;0,731;0,739;0,787;0,678;0,694
3102100;Alto Rio Doce;0,637;0,670;0,722;0,666;0,720
3102209;Alvarenga;0,843;0,892;0,904;0,792;0,774
3102308;Alvinópolis;0,675;0,774;0,773;0,756;0,748
3102407;Alvorada de Minas;0,625;0,660;0,772;0,785;0,732
3102506;Amparo da Serra;0,777;0,816;0,708;0,702;0,688
3102605;Andradas;0,723;0,721;0,725;0,735;0,609
3102803;Andrelândia;0,826;0,714;0,826;0,834;0,713
3102852;Angelândia;0,672;0,571;0,820;0,677;0,695
3102902;Antônio Carlos;0,711;0,753;0,785;0,812;0,755
3103009;Antônio Dias;0,759;0,677;0,755;0,668;0,648
3103108;Antônio Prado de Minas;0,868;0,816;0,827;0,741;0,731
3103207;Araçaí;0,581;0,642;0,858;0,803;0,685
3103306;Aracitaba;0,732;0,917;0,898;0,769;0,731
3103405;Araçuaí;0,507;0,503;0,617;0,676;0,609
3103504;Araguari;0,645;0,683;0,693;0,709;0,646
3103603;Arantina;0,751;0,842;0,843;0,541;0,700
3103702;Araponga;0,668;0,793;0,798;0,862;0,756
3103751;Araporã;0,630;0,669;0,817;0,862;0,665
3103801;Arapuá;0,682;0,824;0,891;0,849;0,812
3103900;Araújos;0,770;0,839;0,840;0,654;0,770
3104007;Araxá;0,646;0,543;0,618;0,718;0,548
3104106;Arceburgo;0,835;0,868;0,891;0,813;0,793
3104205;Arcos;0,696;0,779;0,816;0,806;0,753
3104304;Areado;0,613;0,615;0,672;0,752;0,696
3104403;Argirita;0,685;0,897;0,857;0,795;0,593
3104452;Aricanduva;0,759;0,736;0,799;0,797;0,762
3104502;Arinos;0,632;0,633;0,608;0,727;0,697
3104601;Astolfo Dutra;0,771;0,771;0,756;0,749;0,696
3104700;Ataléia;0,573;0,649;0,664;0,658;0,582
3104809;Augusto de Lima;0,814;0,843;0,850;0,739;0,729
3104908;Baependi;0,813;0,819;0,874;0,830;0,782
3105004;Baldim;0,798;0,760;0,778;0,601;0,510
3105103;Bambuí;0,729;0,765;0,804;0,758;0,673
3105202;Bandeira;0,784;0,828;0,785;0,797;0,799
3105301;Bandeira do Sul;0,646;0,598;0,629;0,558;0,584
3105400;Barão de Cocais;0,809;0,748;0,791;0,721;0,671
3105509;Barão do Monte Alto;0,717;0,732;0,700;0,800;0,681
3105608;Barbacena;0,690;0,694;0,683;0,695;0,628
3105707;Barra Longa;0,701;0,765;0,827;0,709;0,590
3105905;Barroso;0,735;0,746;0,711;0,685;0,590
3106002;Bela Vista de Minas;0,614;0,687;0,760;0,646;0,663
3106101;Belmiro Braga;0,669;0,716;0,747;0,765;0,756
3106200;Belo Horizonte;0,715;0,708;0,669;0,672;0,642
3106309;Belo Oriente;0,747;0,739;0,751;0,726;0,706
3106408;Belo Vale;0,737;0,781;0,819;0,797;0,714
3106507;Berilo;0,567;0,542;0,732;0,641;0,577
3106655;Berizal;0,795;0,651;0,772;0,820;0,791
3106606;Bertópolis;0,566;0,611;0,579;0,640;0,423
3106705;Betim;0,697;0,722;0,712;0,630;0,594
3106804;Bias Fortes;0,798;0,771;0,843;0,746;0,781
3106903;Bicas;0,714;0,693;0,708;0,592;0,695
3107000;Biquinhas;0,806;0,863;0,903;0,834;0,832
3107109;Boa Esperança;0,704;0,755;0,767;0,732;0,665
3107208;Bocaina de Minas;0,671;0,717;0,799;0,724;0,719
3107307;Bocaiúva;0,654;0,690;0,707;0,721;0,604
3107406;Bom Despacho;0,686;0,719;0,804;0,805;0,788
3107505;Bom Jardim de Minas;0,772;0,767;0,662;0,635;0,760
3107604;Bom Jesus da Penha;0,845;0,892;0,891;0,777;0,859
3107703;Bom Jesus do Amparo;0,787;0,824;0,772;0,758;0,659
3107802;Bom Jesus do Galho;0,663;0,700;0,728;0,674;0,598
3107901;Bom Repouso;0,852;0,853;0,821;0,819;0,837
3108008;Bom Sucesso;0,724;0,707;0,714;0,616;0,514
3108107;Bonfim;0,785;0,887;0,853;0,800;0,795
3108206;Bonfinópolis de Minas;0,697;0,607;0,706;0,726;0,688
3108255;Bonito de Minas;0,617;0,573;0,761;0,775;0,723
3108305;Borda da Mata;0,767;0,759;0,761;0,813;0,704
3108404;Botelhos;0,619;0,561;0,615;0,623;0,591
3108503;Botumirim;0,703;0,683;0,770;0,694;0,726
3108701;Brás Pires;0,797;0,892;0,830;0,738;0,689
3108552;Brasilândia de Minas;0,721;0,727;0,689;0,685;0,619
3108602;Brasília de Minas;0,656;0,717;0,762;0,695;0,663
3108800;Braúnas;0,633;0,650;0,730;0,761;0,807
3108909;Brazópolis;0,686;0,717;0,737;0,746;0,679
3109006;Brumadinho;0,781;0,786;0,776;0,781;0,658
3109105;Bueno Brandão;0,689;0,718;0,663;0,684;0,694
3109204;Buenópolis;0,729;0,755;0,811;0,796;0,734
3109253;Bugre;0,722;0,697;0,716;0,805;0,859
3109303;Buritis;0,713;0,667;0,763;0,773;0,635
3109402;Buritizeiro;0,624;0,706;0,714;0,785;0,745
3109451;Cabeceira Grande;0,758;0,673;0,721;0,728;0,660
3109501;Cabo Verde;0,698;0,681;0,572;0,626;0,670
3109600;Cachoeira da Prata;0,592;0,759;0,839;0,679;0,759
3109709;Cachoeira de Minas;0,738;0,871;0,894;0,864;0,739
3102704;Cachoeira de Pajeú;0,637;0,633;0,748;0,700;0,680
3109808;Cachoeira Dourada;0,566;0,860;0,864;0,826;0,753
3109907;Caetanópolis;0,734;0,776;0,706;0,666;0,692
3110004;Caeté;0,719;0,758;0,737;0,717;0,612
3110103;Caiana;0,639;0,605;0,715;0,724;0,702
3110202;Cajuri;0,873;0,715;0,842;0,800;0,769
3110301;Caldas;0,601;0,683;0,687;0,710;0,748
3110400;Camacho;0,587;0,774;0,850;0,701;0,721
3110509;Camanducaia;0,659;0,769;0,698;0,701;0,619
3110608;Cambuí;0,740;0,740;0,718;0,661;0,708
3110707;Cambuquira;0,783;0,713;0,728;0,733;0,606
3110806;Campanário;0,730;0,649;0,616;0,712;0,688
3110905;Campanha;0,696;0,599;0,646;0,668;0,701
3111002;Campestre;0,585;0,630;0,628;0,706;0,636
3111101;Campina Verde;0,646;0,749;0,643;0,680;0,660
3111150;Campo Azul;0,685;0,864;0,824;0,804;0,794
3111200;Campo Belo;0,702;0,740;0,702;0,703;0,724
3111309;Campo do Meio;0,739;0,754;0,792;0,771;0,791
3111408;Campo Florido;0,654;0,559;0,725;0,718;0,549
3111507;Campos Altos;0,640;0,642;0,587;0,628;0,561
3111606;Campos Gerais;0,683;0,656;0,722;0,699;0,639
3111903;Cana Verde;0,734;0,876;0,895;0,755;0,786
3111705;Canaã;0,796;0,842;0,871;0,850;0,852
3111804;Canápolis;0,837;0,815;0,705;0,758;0,692
3112000;Candeias;0,787;0,823;0,811;0,772;0,712
3112059;Cantagalo;0,738;0,704;0,867;0,715;0,732
3112109;Caparaó;0,776;0,831;0,843;0,815;0,693
3112208;Capela Nova;0,735;0,780;0,799;0,745;0,651
3112307;Capelinha;0,614;0,613;0,643;0,696;0,683
3112406;Capetinga;0,635;0,663;0,792;0,732;0,755
3112505;Capim Branco;0,719;0,726;0,691;0,695;0,652
3112604;Capinópolis;0,810;0,771;0,761;0,774;0,775
3112653;Capitão Andrade;0,696;0,720;0,842;0,750;0,662
3112703;Capitão Enéas;0,697;0,765;0,717;0,568;0,663
3112802;Capitólio;0,822;0,803;0,777;0,807;0,773
3112901;Caputira;0,667;0,718;0,773;0,810;0,686
3113008;Caraí;0,500;0,529;0,516;0,558;0,533
3113107;Caranaíba;0,737;0,752;0,813;0,731;0,639
3113206;Carandaí;0,638;0,693;0,671;0,681;0,682
3113305;Carangola;0,636;0,659;0,699;0,626;0,609
3113404;Caratinga;0,699;0,691;0,706;0,723;0,618
3113503;Carbonita;0,756;0,776;0,816;0,830;0,753
3113602;Careaçu;0,730;0,678;0,774;0,668;0,740
3113701;Carlos Chagas;0,563;0,600;0,636;0,678;0,595
3113800;Carmésia;0,799;0,692;0,790;0,750;0,772
